sigla_da_torre;nome_da_torre;detentora;endereco;lat;lon;capacitado
000;PONTE COBERTA;AMERICAN TOWER;RODOVIA PRESIDENTE DUTRA KM 218, 54750;-22.685944;-43.810291;NÃO
001;NITEROI - ESTRADA VELHA DE MARICA;AMERICAN TOWER;RUA ALVARO SEIXAS, S/N;-22.882467;-43.023422;NÃO
002;RIO DE JANEIRO - ATAULFO DE PAIVA;BR TOWERS,BR TOWERS (ANTIGA);AVENIDA ATAULFO DE PAIVA, 1079;-22.985347;-43.226042;NÃO
003;VINTE E QUATRO DE MAIO;BR TOWERS,BR TOWERS (ANTIGA);RUA VINTE E QUATRO DE MAIO, 859;-22.903775;-43.266093;NÃO
004;CHURRASCARIA CARRETAO;PESQUISANDO;RUA RONALDO DE CARVALHO, 55 - PÇDO LIDO22021020;-22.965472;-43.176389;NÃO
005;RESTAURANTE ALCAPARRA;PESQUISANDO;PRAIA DO FLAMENGO, 15022210-030;-22.929694;-43.174556;NÃO
006;FORTE SANTA CRUZ;PESQUISANDO;RUA GENERAL EURICO GASPAR DUTRA, S/N°;-22.937194;-43.13425;NÃO
007;BOTAFOGO PRAIA SHOPPING;PESQUISANDO;PRAIA DE BOTAFOGO, 400 8º ANDAR;-22.947678;-43.18409;NÃO
008;RIO DE JANEIRO - CABANA DA SERRA;BR TOWERS (ANTIGA);AVENIDA MENEZES CORTES, 4800;-22.924025;-43.292572;NÃO
009;RIO DE JANEIRO - CORREA DUTRA;BR TOWERS,BR TOWERS (ANTIGA);RUA CORREA DUTRA, 52;-22.927681;-43.175433;NÃO
010;VISCONDE DE INHAUMA;PESQUISANDO;RUA VISCONDE DE INHAUMA, 64 - SALA 503;-22.899253;-43.178619;NÃO
011;RIO DE JANEIRO - VISCONDE DE ALBUQUERQUE;PESQUISANDO;AVENIDA VISCONDE DE ALBUQUERQUE, 492;-22.984576;-43.228697;NÃO
013;RIO DE JANEIRO - PRAÇA MAUÁ;BR TOWERS,BR TOWERS (ANTIGA),CTBC;AVENIDA RIO BRANCO, COBERTURA 1;-22.897206;-43.180175;NÃO
014;PARQUE COLUMBIA;BR TOWERS,BR TOWERS (ANTIGA);RUA SUSSEKIND MENDONÇA, ENTRE 315 E 325;-22.812839;-43.335939;NÃO
016;HOTEL INTERCONTINENTAL;PESQUISANDO;AVENIDA PREFEITO MENDES DE MORAES, 222;-22.998187;-43.25692;NÃO
017;ATALAIA;AMERICAN TOWER;ESTRADA ALARICO DE SOUZA, 580;-22.900689;-43.0777;NÃO
01D;AVENIDA RIO BRANCO 120;PESQUISANDO;AVENIDA RIO BRANCO 120;-22.904281;-43.178036;NÃO
02D;AVENIDA RIO BRANCO 151;PESQUISANDO;AVENIDA RIO BRANCO 151;-22.905617;-43.177339;NÃO
03D;AVENIDA RIO BRANCO 174;PESQUISANDO;AV. RIO BRANCO 174;-22.907914;-43.176742;NÃO
0AA;RIO DE JANEIRO - MOVEL OLIMPICA 1;PESQUISANDO;ESTRADA MARECHAL ALENCASTRO, S/N°;-22.846511;-43.399806;NÃO
0AB;RIO DE JANEIRO - MOVEL OLIMPICA 2;PESQUISANDO;AVENIDA DUQUE DE CAXIAS, S/N°;-22.864572;-43.400231;NÃO
0AC;RIO DE JANEIRO - MOVEL OLIMPICA 3;PESQUISANDO;AVENIDA BRASIL;-22.859692;-43.405822;NÃO
0AD;RIO DE JANEIRO - MOVEL OLIMPICA 4;PESQUISANDO;RUA SALUSTIANO SILVA;-22.852917;-43.400694;NÃO
0AE;MOVEL OLIMPICA 5;PESQUISANDO;RUA VISCONDE ITAPARICA, S/N;-22.869689;-43.406306;NÃO
0AF;RIO DE JANEIRO - MOVEL OLIMPICA 6;PESQUISANDO;RUA SALUSTIANO SILVA;-22.874561;-43.402469;NÃO
0AG;RIO DE JANEIRO - MOVEL OLIMPICA 7;PESQUISANDO;ESTRADA DE GERICINO, S/N°;-22.8581;-43.410917;NÃO
0AH;RIO DE JANEIRO - MOVEL OLIMPICA 8;PESQUISANDO;RUA SALUSTIANO SILVA;-22.849472;-43.405;NÃO
0AI;RIO DE JANEIRO - MOVEL OLIMPICA 9;PESQUISANDO;AVENIDA BRASIL;-22.860528;-43.401722;NÃO
0AJ;MOVEL OLIMPICA 10;PESQUISANDO;RUA SALUSTIANO SILVA, S/N;-22.869308;-43.406639;NÃO
0AK;MOVEL OLIMPICA 11;PESQUISANDO;SITE EM BUSCA;-22.991389;-43.363056;NÃO
0AL;MOVEL OLIMPICA 12;PESQUISANDO;SITE EM BUSCA;-22.991389;-43.363056;NÃO
0AM;MOVEL OLIMPICA 13;PESQUISANDO;SITE EM BUSCA;-22.991389;-43.363056;NÃO
0AN;MOVEL OLIMPICA 14;PESQUISANDO;SITE EM BUSCA;-22.991389;-43.363056;NÃO
0AO;MOVEL OLIMPICA 15;PESQUISANDO;SITE EM BUSCA;-22.991389;-43.363056;NÃO
